# VC is only comparable when alpha matches the line tension used; tau_y0 ~ alpha^(-1/3). depin3d.py
alpha,basis,tau_y0_GPa,dE_b_eV
0.0833,VC default 1/12,0.46,0.607
0.2662,matched to Gamma_edge,0.312,0.894
